문자내용,분류
안녕하세요 쿠팡 정대현입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
"[Web발신]
계정 도용 의심으로 이용이 제한되었습니다. 해제 http://vo.la/th5g",스미싱
[헬스장] 회원권이 2/03에 만료됩니다. 데스크로 문의 주세요.,정상
"[Web발신]
재택 부업 모집. 하루 2시간 고수익 보장 http://vo.la/wjr2",스미싱
[아파트관리사무소] 단수 안내: 10/11 15:07부터 2시간 단수 예정입니다.,정상
"[Web발신]
BC카드 승인 김*수
356,000원 일시불
8/14 21:15
11번가 앱에서 확인: https://www.naver.com/uy8p",정상
[중앙중학교] 현장학습 관련 동의서 제출 부탁드립니다. 자세히 보기: https://www.naver.com/teue,정상
박정호 대리님 요청하신 자료 메일로 보냈습니다. 확인 부탁드려요.,정상
"[Web발신]
롯데카드 7/05 청구금액 35,000원 안내드립니다. 문의 1666-7026",정상
안녕하세요 쿠팡 강미경입니다. 부재중이라 경비실에 맡겨두었습니다. 앱에서 확인: https://www.naver.com/pm3r,정상
"[Web발신]
기업은행 예금 만기 안내. 자세한 내용은 영업점 또는 070-7426-9736",정상
"[Web발신]
고객님 계좌가 보이스피싱 피해 계좌로 신고되었습니다 02-4410-5783",스미싱
"[Web발신]
[긴급] 미사용 포인트 770,000점 오늘 소멸됩니다 hxxp://bit.ly/9xs3z",스미싱
"[Web발신]
기업은행 예금 만기 안내. 자세한 내용은 영업점 또는 070-5428-9511",정상
"[Web발신]
[질병관리청] 소상공인 재난지원금 지급 대상 안내 ㅁㅁ링크",스미싱
안녕하세요 한진택배 윤성호입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 02-0053-8289",스미싱
"[Web발신]
앱 정기결제 89,000원 자동 갱신 예정입니다. 해지 ㅁㅁ링크",스미싱
"[Web발신]
[경찰청] 정부지원금 신청 대상자로 선정되셨습니다. 신청기한 오늘까지 http://kr-hrzm.top",스미싱
"[Web발신]
[행정안전부] 건강검진 미수검자 안내. 대상자 조회 http://kr-gzm3.top",스미싱
"[Web발신]
[삼성카드] 해외결제 2,480,000원 승인. 본인 아닐시 즉시 문의 http://kr-vzvk.top",스미싱
"[Web발신]
[롯데택배] 미수령 택배 1건 보관중. 오늘까지 미확인시 반송됩니다 http://me2.kr/z9yr",스미싱
[모바일 청첩장] 정대현 결혼합니다. 초대장 확인 http://c6yj.duckdns.org,스미싱
행복치과입니다. 내일 09:12 예약 확인 전화드렸는데 부재중이셨습니다. 1666-1738 자세히 보기: https://www.naver.com/z24x,정상
[한빛고등학교] 내일은 단축수업입니다. 하교 시간 확인 부탁드립니다.,정상
[LG U+] 데이터 사용량이 80%를 초과했습니다. 남은 기간 확인하세요. 자세히 보기: https://www.naver.com/ewxz,정상
"[Web발신]
새마을금고 체크카드 승인 1,250,000원 G마켓 21:15",정상
어제 고마웠어. 다음에 밥 한번 사줄게 앱에서 확인: https://www.naver.com/vhmt,정상
[모바일 청첩장] 임지은 결혼합니다. 초대장 확인 http://nd6a.duckdns.org,스미싱
"[Web발신]
[행정안전부] 건강검진 미수검자 안내. 대상자 조회 http://han.gl/3cgf",스미싱
"[Web발신]
타지역에서 로그인 시도가 감지되었습니다. 본인확인 http://me2.kr/rr37",스미싱
"[Web발신]
[국세청] 정부지원금 신청 대상자로 선정되셨습니다. 신청기한 오늘까지 ㅁㅁ링크",스미싱
[건강보험공단] 민방위 교육 일정 안내입니다. 대상자는 사이버교육 이수 바랍니다.,정상
"[Web발신]
고객님 포인트 소멸 예정입니다. 무료 전환 신청 http://xn--pxa37.xyz",스미싱
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 http://y39m.duckdns.org",스미싱
"[Web발신]
[삼성카드] 결제 오류로 승인 실패. 카드정보 재등록 필요합니다 http://vo.la/gcqu",스미싱
오늘 회식 10:45에 시작합니다. 장소는 사무실 앞에서 모입니다. 앱에서 확인: https://www.naver.com/tkbb,정상
"[Web발신]
하나은행 체크카드 승인 35,000원 G마켓 10:45",정상
[알뜰폰] 요금이 정상 납부되었습니다. 이용해 주셔서 감사합니다. 앱에서 확인: https://www.naver.com/87ws,정상
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 http://z2re.duckdns.org",스미싱
"[Web발신]
농협은행 예금 만기 안내. 자세한 내용은 영업점 또는 070-9259-7461",정상
[미용실] 예약 12/19 21:15 확인되었습니다. 늦지 않게 방문 부탁드려요.,정상
"[Web발신]
[관세청] 건강검진 미수검자 안내. 대상자 조회 http://xn--ttwqm.xyz",스미싱
박정호님 내일 회의 10:45으로 변경되었습니다. 확인 부탁드립니다.,정상
정대현 대리님 요청하신 자료 메일로 보냈습니다. 확인 부탁드려요. 자세히 보기: https://www.naver.com/gmtu,정상
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 http://kr-y5uv.top,스미싱
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 http://me2.kr/xx3g",스미싱
나 지금 출발했어. 09:12쯤 도착할 것 같아 앱에서 확인: https://www.naver.com/vppn,정상
[미용실] 예약 3/21 10:45 확인되었습니다. 늦지 않게 방문 부탁드려요. 앱에서 확인: https://www.naver.com/2q99,정상
동생 사진 잘 받았어요. 건강 조심하세요,정상
"[Web발신]
[로젠택배] 미수령 택배 1건 보관중. 오늘까지 미확인시 반송됩니다 ㅁㅁ링크",스미싱
"[Web발신]
[국민카드] 결제 오류로 승인 실패. 카드정보 재등록 필요합니다 hxxp://bit.ly/47wuy",스미싱
"[Web발신]
새마을금고 체크카드 승인 2,480,000원 롯데마트 15:07 앱에서 확인: https://www.naver.com/gp5b",정상
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 http://xn--dhm2p.xyz",스미싱
"[Web발신]
농협은행 입금 35,000원
잔액 770,000원
10/11 09:12",정상
"[Web발신]
타지역에서 로그인 시도가 감지되었습니다. 본인확인 http://han.gl/uhmp",스미싱
[한빛고등학교] 학부모 상담 주간 안내드립니다. 신청서를 보내드렸습니다.,정상
[미용실] 예약 2/03 09:12 확인되었습니다. 늦지 않게 방문 부탁드려요. 앱에서 확인: https://www.naver.com/sjb2,정상
"[Web발신]
축하합니다! 롯데마트 경품 이벤트에 당첨되셨습니다 http://24na.duckdns.org",스미싱
"[Web발신]
[농협은행] 대출 심사 결과 안내드립니다. 결과 확인 http://me2.kr/vm9b",스미싱
[중앙중학교] 급식 식단표를 가정통신문으로 배부하였습니다.,정상
"[Web발신]
[질병관리청] 종합소득세 환급금 1,250,000원이 미수령 상태입니다. 신청 ㅁㅁ링크",스미싱
[부고] 삼가 고인의 명복을 빕니다. 부고장 hxxp://bit.ly/qtqka,스미싱
"[Web발신]
[알림] 미납 통신요금 1,250,000원 정지 예정 안내 ㅁㅁ링크",스미싱
[우체국택배] 배송이 완료되었습니다. 이용해 주셔서 감사합니다. 자세히 보기: https://www.naver.com/75zy,정상
"[Web발신]
축하합니다! 이마트 경품 이벤트에 당첨되셨습니다 ㅁㅁ링크",스미싱
"[Web발신]
[CJ대한통운] 미수령 택배 1건 보관중. 오늘까지 미확인시 반송됩니다 http://han.gl/k29u",스미싱
"[Web발신]
신한카드 승인 한*철
35,000원 일시불
3/21 19:48
롯데마트 앱에서 확인: https://www.naver.com/rjkc",정상
[미용실] 예약 12/19 13:20 확인되었습니다. 늦지 않게 방문 부탁드려요.,정상
형 사진 잘 받았어요. 건강 조심하세요,정상
"[Web발신]
[국세청] 종합소득세 환급금 2,480,000원이 미수령 상태입니다. 신청 http://kr-espv.top",스미싱
[한빛고등학교] 현장학습 관련 동의서 제출 부탁드립니다.,정상
"[Web발신]
[로젠택배] 미수령 택배 1건 보관중. 오늘까지 미확인시 반송됩니다 http://me2.kr/pf82",스미싱
[질병관리청] 주민세 납부 기한은 1/12까지입니다. 문의는 02-8835-4164 앱에서 확인: https://www.naver.com/q3bp,정상
"[Web발신]
[알림] 미납 통신요금 12,900원 정지 예정 안내 hxxp://bit.ly/5p68u",스미싱
"[Web발신]
온라인 쇼핑몰 리뷰 알바 모집합니다. 건당 1만원 http://vo.la/t6fz",스미싱
[푸른어린이집] 현장학습 관련 동의서 제출 부탁드립니다.,정상
"[Web발신]
백신 접종 예약 변경 안내드립니다. 확인 hxxp://bit.ly/8bwz5",스미싱
"[Web발신]
[새마을금고] 저금리 대환대출 최대 89,000원 한도확인 가능합니다 http://kr-8mu4.top",스미싱
"[Web발신]
해외 직구 89,000원 결제 승인 안내. 취소 문의 02-6227-0179",스미싱
"[Web발신]
[국민카드] 카드 발급이 완료되었습니다. 본인 신청이 아니면 ㅁㅁ링크",스미싱
"[Web발신]
고객님 계좌가 보이스피싱 피해 계좌로 신고되었습니다 1666-0661",스미싱
[롯데마트] 주문번호 확인 결과 정상 배송 중입니다. 문의 02-3405-8716,정상
"[Web발신]
온라인 쇼핑몰 리뷰 알바 모집합니다. 건당 1만원 ㅁㅁ링크",스미싱
"[Web발신]
[CJ대한통운] 주소불일치로 물품 배송이 보류되었습니다. 주소 확인 http://89ze.duckdns.org",스미싱
휴가 결재 승인되었습니다. 인수인계 진행해 주세요.,정상
"[Web발신]
[관세청] 건강검진 미수검자 안내. 대상자 조회 http://me2.kr/3sy2",스미싱
"[Web발신]
우리은행 출금 356,000원
10/11 10:45 자동이체",정상
"[Web발신]
[알림] 미납 통신요금 128,000원 정지 예정 안내 http://han.gl/hcw4",스미싱
[도서관] 대출하신 도서 반납일이 10/11입니다.,정상
"[Web발신]
[우리은행] 고객님 계좌에서 128,000원 이체 시도가 감지되었습니다 hxxp://bit.ly/thvve",스미싱
"[Web발신]
[알림] 미납 통신요금 89,000원 정지 예정 안내 hxxp://bit.ly/a6pe3",스미싱
"[Web발신]
BC카드 5/17 청구금액 1,250,000원 안내드립니다. 문의 1588-5533 앱에서 확인: https://www.naver.com/6rp2",정상
"[Web발신]
신한카드 승인 조*주
89,000원 일시불
12/19 19:48
백화점",정상
나 지금 출발했어. 10:45쯤 도착할 것 같아,정상
"[Web발신]
[쿠팡] 89,000원 결제가 완료되었습니다. 본인 아니면 02-4391-3986",스미싱
월요일 출근 전에 보고서 초안 공유 부탁드립니다. 감사합니다. 앱에서 확인: https://www.naver.com/as3w,정상
[부고] 삼가 고인의 명복을 빕니다. 부고장 http://han.gl/2kq5,스미싱
"[Web발신]
[국민은행] 저금리 대환대출 최대 770,000원 한도확인 가능합니다 http://swth.duckdns.org",스미싱
"[Web발신]
[알림] 미납 통신요금 35,000원 정지 예정 안내 ㅁㅁ링크",스미싱
"[Web발신]
G마켓 상품권 무료 증정 이벤트 당첨자로 선정되셨습니다 http://kr-gqer.top",스미싱
[중앙중학교] 학부모 상담 주간 안내드립니다. 신청서를 보내드렸습니다.,정상
"[Web발신]
[국민은행] 저금리 대환대출 최대 48,700원 한도확인 가능합니다 http://han.gl/aadz",스미싱
"[Web발신]
[하나은행] 저금리 대환대출 최대 35,000원 한도확인 가능합니다 ㅁㅁ링크",스미싱
박정호님 내일 회의 21:15으로 변경되었습니다. 확인 부탁드립니다.,정상
"[Web발신]
[하나카드] 결제 오류로 승인 실패. 카드정보 재등록 필요합니다 http://me2.kr/4gue",스미싱
"[Web발신]
[투자] 종목 무료 추천방 오픈. 수익률 182% 실화입니다 ㅁㅁ링크",스미싱
"[Web발신]
[국민연금공단] 미납 과태료 89,000원 최종 안내. 미납시 재산압류 http://han.gl/sm5w",스미싱
"[Web발신]
[서울시청] 미납 과태료 770,000원 최종 안내. 미납시 재산압류 ㅁㅁ링크",스미싱
"[Web발신]
[롯데택배] 배송지 미확인 상품 반송 예정입니다. 확인 ㅁㅁ링크",스미싱
오늘 회식 09:12에 시작합니다. 장소는 사무실 앞에서 모입니다. 자세히 보기: https://www.naver.com/rpa7,정상
"[Web발신]
[국민은행] 고객님 계좌에서 770,000원 이체 시도가 감지되었습니다 ㅁㅁ링크",스미싱
엄마 나 폰 고장나서 컴퓨터로 문자해. 급하게 필요한거 있어서 http://me2.kr/vem5,스미싱
[서울시청] 주민세 납부 기한은 11/02까지입니다. 문의는 070-0872-0694,정상
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 02-0678-2138",스미싱
[도서관] 대출하신 도서 반납일이 6/28입니다.,정상
"[Web발신]
삼성카드 승인 조*주
89,000원 일시불
6/28 22:40
이마트 앱에서 확인: https://www.naver.com/99bg",정상
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 hxxp://bit.ly/jz8dz,스미싱
"[Web발신]
새마을금고 체크카드 승인 770,000원 신세계몰 17:33",정상
"[Web발신]
[하나카드] 해외결제 89,000원 승인. 본인 아닐시 즉시 문의 http://han.gl/sc8p",스미싱
이영희 대리님 요청하신 자료 메일로 보냈습니다. 확인 부탁드려요.,정상
[세탁소] 맡기신 옷 세탁 완료되었습니다. 편하실 때 찾아가세요. 앱에서 확인: https://www.naver.com/6hzx,정상
정대현아 생일 축하해! 좋은 하루 보내,정상
[아파트관리사무소] 정기 소방점검이 3/21에 있습니다. 협조 부탁드립니다. 자세히 보기: https://www.naver.com/mzb7,정상
"[LG U+] 이번 달 요금은 48,700원입니다. 자세한 내역은 고객센터 010-2011-9432",정상
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 http://xn--jqn6y.xyz,스미싱
"[Web발신]
마이너스통장 신규 대상자입니다. 서류없이 당일 입금 http://me2.kr/cc4s",스미싱
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 http://me2.kr/ndvx",스미싱
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 070-9993-8943",스미싱
[LG U+] 요금이 정상 납부되었습니다. 이용해 주셔서 감사합니다.,정상
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 1588-1314",스미싱
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 http://me2.kr/ttt6",스미싱
[모바일 청첩장] 조은주 결혼합니다. 초대장 확인 http://han.gl/kjf9,스미싱
"[Web발신]
[법원] 전자소송 출석요구서가 송달되었습니다. 열람 http://xn--z4jfu.xyz",스미싱
[새싹유치원] 내일은 단축수업입니다. 하교 시간 확인 부탁드립니다. 앱에서 확인: https://www.naver.com/447g,정상
"[Web발신]
[새마을금고] 저금리 대환대출 최대 1,250,000원 한도확인 가능합니다 http://xn--hfygf.xyz",스미싱
비 온대. 우산 챙겨서 나가 자세히 보기: https://www.naver.com/nssa,정상
"[Web발신]
[CU편의점택배] 미수령 택배 1건 보관중. 오늘까지 미확인시 반송됩니다 ㅁㅁ링크",스미싱
[롯데택배] 고객님의 상품이 오늘 도착 예정입니다. 기사 김민수 010-1128-9551,정상
"[Web발신]
국민은행 출금 128,000원
7/05 22:40 자동이체",정상
"[Web발신]
우리은행 예금 만기 안내. 자세한 내용은 영업점 또는 1666-4415",정상
"[Web발신]
[기업은행] 고객님 계좌에서 35,000원 이체 시도가 감지되었습니다 ㅁㅁ링크",스미싱
"[Web발신]
[우체국택배] 송장번호 오류로 배송 지연. 정보 수정 바랍니다 ㅁㅁ링크",스미싱
할머니 약 잘 챙겨 드시고 계세요. 주말에 갈게요 자세히 보기: https://www.naver.com/b4w9,정상
"[Web발신]
[법원] 전자소송 출석요구서가 송달되었습니다. 열람 http://han.gl/t245",스미싱
[국민연금공단] 예방접종 안내입니다. 가까운 보건소에서 접종 가능합니다. 문의 010-9510-3817,정상
"[LG U+] 이번 달 요금은 89,000원입니다. 자세한 내역은 고객센터 02-6046-9217",정상
[새싹유치원] 현장학습 관련 동의서 제출 부탁드립니다. 앱에서 확인: https://www.naver.com/hydb,정상
"[Web발신]
[서울시청] 재택 근무자 지원금 신청 접수중입니다 ㅁㅁ링크",스미싱
"[Web발신]
[서울시청] 건강검진 미수검자 안내. 대상자 조회 http://me2.kr/m53x",스미싱
강미경아 생일 축하해! 좋은 하루 보내,정상
"[Web발신]
하나은행 출금 89,000원
6/28 19:48 자동이체",정상
[한진택배] 배송이 완료되었습니다. 이용해 주셔서 감사합니다. 자세히 보기: https://www.naver.com/agad,정상
[햇살초등학교] 급식 식단표를 가정통신문으로 배부하였습니다. 자세히 보기: https://www.naver.com/r9ue,정상
[모바일 청첩장] 박정호 결혼합니다. 초대장 확인 ㅁㅁ링크,스미싱
"[Web발신]
[새마을금고] 비정상 로그인 감지. 계정 정지 예정입니다 http://xn--tx3km.xyz",스미싱
"[Web발신]
[우체국택배] 주소불일치로 물품 배송이 보류되었습니다. 주소 확인 hxxp://bit.ly/n6gx6",스미싱
할머니 오늘 저녁에 집에 몇 시쯤 와? 밥 차려놓을게,정상
"[Web발신]
[새마을금고] 비정상 로그인 감지. 계정 정지 예정입니다 http://vo.la/rbge",스미싱
삼촌 약 잘 챙겨 드시고 계세요. 주말에 갈게요,정상
[학원] 한상철 학생 오늘 결석했습니다. 확인 부탁드립니다.,정상
[경찰청] 민방위 교육 일정 안내입니다. 대상자는 사이버교육 이수 바랍니다. 앱에서 확인: https://www.naver.com/racp,정상
"[Web발신]
새마을금고 출금 128,000원
4/09 17:33 자동이체",정상
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 http://kr-pj2s.top",스미싱
"[Web발신]
신한은행 입금 770,000원
잔액 12,900원
8/14 10:45",정상
"[Web발신]
[국민카드] 결제 오류로 승인 실패. 카드정보 재등록 필요합니다 ㅁㅁ링크",스미싱
"[Web발신]
새마을금고 출금 89,000원
2/03 15:07 자동이체",정상
"[Web발신]
[우리은행] 저금리 대환대출 최대 128,000원 한도확인 가능합니다 http://kr-gdmu.top",스미싱
[새싹유치원] 내일은 단축수업입니다. 하교 시간 확인 부탁드립니다.,정상
"[Web발신]
[국민연금공단] 건강검진 미수검자 안내. 대상자 조회 http://me2.kr/cu4e",스미싱
안녕하세요 CU편의점택배 윤성호입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
"[Web발신]
신한카드 승인 박*호
35,000원 일시불
10/11 17:33
11번가",정상
[SKT] 데이터 사용량이 80%를 초과했습니다. 남은 기간 확인하세요.,정상
안녕하세요 우체국택배 조은주입니다. 부재중이라 경비실에 맡겨두었습니다. 자세히 보기: https://www.naver.com/kfst,정상
우리정형외과 예약 안내: 3/21 19:48. 변경은 02-5806-4373로 연락 주세요. 앱에서 확인: https://www.naver.com/35zt,정상
"[Web발신]
[건강보험공단] 소상공인 재난지원금 지급 대상 안내 http://c74e.duckdns.org",스미싱
"[Web발신]
계정 도용 의심으로 이용이 제한되었습니다. 해제 http://6ttn.duckdns.org",스미싱
"[Web발신]
[행정안전부] 미납 과태료 1,250,000원 최종 안내. 미납시 재산압류 ㅁㅁ링크",스미싱
"[KT] 이번 달 요금은 89,000원입니다. 자세한 내역은 고객센터 1666-3795",정상
"[Web발신]
[투자] 종목 무료 추천방 오픈. 수익률 182% 실화입니다 http://han.gl/5t2r",스미싱
나 지금 출발했어. 09:12쯤 도착할 것 같아,정상
[국세청] 예방접종 안내입니다. 가까운 보건소에서 접종 가능합니다. 문의 070-0572-4435,정상
[국제우편] 통관보류 물품 안내드립니다. 미확인시 폐기 처리 http://han.gl/zxwe,스미싱
"[Web발신]
[건강보험공단] 재택 근무자 지원금 신청 접수중입니다 ㅁㅁ링크",스미싱
"[Web발신]
새마을금고 예금 만기 안내. 자세한 내용은 영업점 또는 1666-1239",정상
서울내과의원 검진 결과가 나왔습니다. 내원하셔서 상담 받으시기 바랍니다. 자세히 보기: https://www.naver.com/auae,정상
이모 약 잘 챙겨 드시고 계세요. 주말에 갈게요 자세히 보기: https://www.naver.com/6ta8,정상
[헬스장] 회원권이 1/12에 만료됩니다. 데스크로 문의 주세요. 자세히 보기: https://www.naver.com/b6ga,정상
"[Web발신]
타지역에서 로그인 시도가 감지되었습니다. 본인확인 http://me2.kr/56ys",스미싱
"[알뜰폰] 이번 달 요금은 770,000원입니다. 자세한 내역은 고객센터 02-9571-4500",정상
나 지금 출발했어. 17:33쯤 도착할 것 같아,정상
"[Web발신]
[롯데마트] 주문하신 상품이 결제 처리되었습니다. 취소 ㅁㅁ링크",스미싱
"[Web발신]
온라인 쇼핑몰 리뷰 알바 모집합니다. 건당 1만원 http://ypdx.duckdns.org",스미싱
"[Web발신]
타지역에서 로그인 시도가 감지되었습니다. 본인확인 http://me2.kr/tqj3",스미싱
"국민카드 카드 이용대금 1,250,000원이 정상 출금되었습니다.",정상
"[Web발신]
신한은행 체크카드 승인 1,250,000원 신세계몰 09:12 자세히 보기: https://www.naver.com/j7kx",정상
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 http://kr-66q4.top,스미싱
"[Web발신]
[법원] 전자소송 출석요구서가 송달되었습니다. 열람 http://2bg2.duckdns.org",스미싱
아빠 지금 통화 안돼서 문자로 보내. 이거 좀 확인해줘 ㅁㅁ링크,스미싱
[KT] 요금이 정상 납부되었습니다. 이용해 주셔서 감사합니다.,정상
"[Web발신]
[투자] 종목 무료 추천방 오픈. 수익률 182% 실화입니다 http://vo.la/qnrp",스미싱
[한진택배] 배송이 완료되었습니다. 이용해 주셔서 감사합니다.,정상
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 hxxp://bit.ly/e96kp",스미싱
[서울시청] 주민세 납부 기한은 4/09까지입니다. 문의는 02-1948-2375,정상
"[Web발신]
[법원] 전자소송 출석요구서가 송달되었습니다. 열람 ㅁㅁ링크",스미싱
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 1666-8650",스미싱
[주민센터] 신청하신 서류 발급이 완료되었습니다. 방문 수령 바랍니다.,정상
[백화점] 주문번호 확인 결과 정상 배송 중입니다. 문의 1666-8619,정상
안녕하세요 쿠팡 윤성호입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
[한진택배] 상품을 문 앞에 두고 갔습니다. 확인 부탁드립니다. 자세히 보기: https://www.naver.com/7suf,정상
"[Web발신]
국민카드 승인 강*경
48,700원 일시불
3/21 22:40
신세계몰 자세히 보기: https://www.naver.com/uyqt",정상
박정호님 내일 회의 17:33으로 변경되었습니다. 확인 부탁드립니다.,정상
"[Web발신]
[삼성카드] 카드 발급이 완료되었습니다. 본인 신청이 아니면 http://vo.la/7rn9",스미싱
"[Web발신]
[법원] 전자소송 출석요구서가 송달되었습니다. 열람 hxxp://bit.ly/yjjym",스미싱
"[Web발신]
해외 직구 128,000원 결제 승인 안내. 취소 문의 1666-9353",스미싱
[미용실] 예약 3/21 19:48 확인되었습니다. 늦지 않게 방문 부탁드려요.,정상
"[Web발신]
우리은행 체크카드 승인 128,000원 11번가 10:45",정상
"[SKT] 이번 달 요금은 2,480,000원입니다. 자세한 내역은 고객센터 1666-6821",정상
"[Web발신]
[국세청] 건강검진 미수검자 안내. 대상자 조회 http://xn--p3dqj.xyz",스미싱
"[Web발신]
[국세청] 종합소득세 환급금 48,700원이 미수령 상태입니다. 신청 ㅁㅁ링크",스미싱
최수진아 생일 축하해! 좋은 하루 보내,정상
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 http://kr-w457.top",스미싱
"[Web발신]
소액으로 시작하는 재테크. 원금보장 고수익 http://vo.la/fexa",스미싱
[아파트관리사무소] 정기 소방점검이 7/05에 있습니다. 협조 부탁드립니다.,정상
"[Web발신]
[이벤트] 무료 상품권 770,000원 선착순 지급중. 지금 신청 ㅁㅁ링크",스미싱
"[Web발신]
기업은행 예금 만기 안내. 자세한 내용은 영업점 또는 070-2096-4202",정상
[도서관] 대출하신 도서 반납일이 8/14입니다.,정상
"[Web발신]
롯데카드 10/11 청구금액 1,250,000원 안내드립니다. 문의 02-3927-1876 자세히 보기: https://www.naver.com/b5rh",정상
"[Web발신]
고객님 포인트 소멸 예정입니다. 무료 전환 신청 http://vo.la/wvxp",스미싱
"[Web발신]
[롯데마트] 12,900원 결제가 완료되었습니다. 본인 아니면 010-3005-3768",스미싱
"[Web발신]
[백화점] 356,000원 결제가 완료되었습니다. 본인 아니면 1588-3327",스미싱
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 ㅁㅁ링크",스미싱
"[Web발신]
[질병관리청] 재택 근무자 지원금 신청 접수중입니다 http://sbzq.duckdns.org",스미싱
"현대카드 카드 이용대금 770,000원이 정상 출금되었습니다. 앱에서 확인: https://www.naver.com/ww8k",정상
김민수님 내일 회의 21:15으로 변경되었습니다. 확인 부탁드립니다.,정상
[도서관] 대출하신 도서 반납일이 4/09입니다.,정상
한상철 대리님 요청하신 자료 메일로 보냈습니다. 확인 부탁드려요.,정상
[CJ대한통운] 배송이 완료되었습니다. 이용해 주셔서 감사합니다.,정상
[경찰청] 예방접종 안내입니다. 가까운 보건소에서 접종 가능합니다. 문의 1588-2314,정상
엄마 오늘 저녁에 집에 몇 시쯤 와? 밥 차려놓을게,정상
나 지금 출발했어. 10:45쯤 도착할 것 같아 자세히 보기: https://www.naver.com/khqp,정상
[아파트관리사무소] 단수 안내: 4/09 19:48부터 2시간 단수 예정입니다.,정상
[새싹유치원] 현장학습 관련 동의서 제출 부탁드립니다. 자세히 보기: https://www.naver.com/8z9h,정상
[모바일 청첩장] 윤성호 결혼합니다. 초대장 확인 http://xn--ug7sk.xyz,스미싱
